"ID"	"Cell State"
"TCGA.BF.AAP0"	"S01"
"TCGA.D3.A1Q3"	"S01"
"TCGA.D3.A1Q7"	"S01"
"TCGA.D3.A1QB"	"S01"
"TCGA.D3.A2J9"	"S01"
"TCGA.D3.A2JB"	"S01"
"TCGA.D3.A2JD"	"S01"
"TCGA.D3.A3C8"	"S01"
"TCGA.D3.A3CB"	"S01"
"TCGA.D3.A3CE"	"S01"
"TCGA.D3.A3CF"	"S01"
"TCGA.D3.A3MR"	"S01"
"TCGA.D3.A51F"	"S01"
"TCGA.D3.A51H"	"S01"
"TCGA.D3.A51J"	"S01"
"TCGA.D3.A5GR"	"S01"
"TCGA.D3.A8GB"	"S01"
"TCGA.D3.A8GD"	"S01"
"TCGA.D9.A3Z3"	"S01"
"TCGA.DA.A1HW"	"S01"
"TCGA.DA.A1IB"	"S01"
"TCGA.DA.A3F2"	"S01"
"TCGA.EB.A5VV"	"S01"
"TCGA.EB.A6L9"	"S01"
"TCGA.EE.A181"	"S01"
"TCGA.EE.A183"	"S01"
"TCGA.EE.A29N"	"S01"
"TCGA.EE.A29P"	"S01"
"TCGA.EE.A29X"	"S01"
"TCGA.EE.A2A1"	"S01"
"TCGA.EE.A2A6"	"S01"
"TCGA.EE.A2GE"	"S01"
"TCGA.EE.A2GH"	"S01"
"TCGA.EE.A2GK"	"S01"
"TCGA.EE.A2GL"	"S01"
"TCGA.EE.A2GT"	"S01"
"TCGA.EE.A2M8"	"S01"
"TCGA.EE.A2ME"	"S01"
"TCGA.EE.A2MG"	"S01"
"TCGA.EE.A2MH"	"S01"
"TCGA.EE.A2MJ"	"S01"
"TCGA.EE.A2MR"	"S01"
"TCGA.EE.A3AA"	"S01"
"TCGA.EE.A3JD"	"S01"
"TCGA.EE.A3JE"	"S01"
"TCGA.EE.A3JH"	"S01"
"TCGA.ER.A199"	"S01"
"TCGA.ER.A19H"	"S01"
"TCGA.ER.A19P"	"S01"
"TCGA.ER.A19W"	"S01"
"TCGA.ER.A1A1"	"S01"
"TCGA.ER.A2NH"	"S01"
"TCGA.FR.A729"	"S01"
"TCGA.FR.A7UA"	"S01"
"TCGA.FR.A8YE"	"S01"
"TCGA.FS.A1Z0"	"S01"
"TCGA.FS.A1Z4"	"S01"
"TCGA.FS.A1ZH"	"S01"
"TCGA.FS.A1ZT"	"S01"
"TCGA.FS.A4F8"	"S01"
"TCGA.FW.A5DY"	"S01"
"TCGA.GF.A4EO"	"S01"
"TCGA.GF.A6C9"	"S01"
"TCGA.GN.A265"	"S01"
"TCGA.GN.A4U8"	"S01"
"TCGA.GN.A9SD"	"S01"
"TCGA.WE.A8K1"	"S01"
"TCGA.D3.A2JO"	"S02"
"TCGA.DA.A1I1"	"S02"
"TCGA.DA.A1I4"	"S02"
"TCGA.DA.A1I5"	"S02"
"TCGA.EE.A2GP"	"S02"
"TCGA.EE.A2MK"	"S02"
"TCGA.ER.A19N"	"S02"
"TCGA.ER.A19Q"	"S02"
"TCGA.ER.A42L"	"S02"
"TCGA.RP.A693"	"S02"
"TCGA.WE.AAA4"	"S02"
"TCGA.3N.A9WC"	"S03"
"TCGA.D3.A2JC"	"S03"
"TCGA.D3.A2JH"	"S03"
