"ID"	"Cell State"
"TCGA.3N.A9WB"	"S01"
"TCGA.D3.A1Q9"	"S01"
"TCGA.D3.A3C8"	"S01"
"TCGA.D3.A3CC"	"S01"
"TCGA.D9.A1JW"	"S01"
"TCGA.DA.A1HV"	"S01"
"TCGA.DA.A1IB"	"S01"
"TCGA.DA.A1IC"	"S01"
"TCGA.EE.A17Z"	"S01"
"TCGA.EE.A20H"	"S01"
"TCGA.EE.A29G"	"S01"
"TCGA.EE.A29H"	"S01"
"TCGA.EE.A29V"	"S01"
"TCGA.EE.A2M5"	"S01"
"TCGA.EE.A2MP"	"S01"
"TCGA.EE.A3AA"	"S01"
"TCGA.EE.A3AD"	"S01"
"TCGA.EE.A3AG"	"S01"
"TCGA.ER.A195"	"S01"
"TCGA.ER.A197"	"S01"
"TCGA.ER.A19A"	"S01"
"TCGA.ER.A19C"	"S01"
"TCGA.ER.A19E"	"S01"
"TCGA.ER.A19J"	"S01"
"TCGA.ER.A19N"	"S01"
"TCGA.ER.A2NG"	"S01"
"TCGA.ER.A2NH"	"S01"
"TCGA.FS.A1ZA"	"S01"
"TCGA.FS.A1ZB"	"S01"
"TCGA.FS.A1ZM"	"S01"
"TCGA.FS.A1ZR"	"S01"
"TCGA.FS.A1ZZ"	"S01"
"TCGA.FS.A4FC"	"S01"
"TCGA.FW.A3I3"	"S01"
"TCGA.D3.A3CE"	"S02"
"TCGA.D3.A8GE"	"S02"
"TCGA.EB.A5VV"	"S02"
"TCGA.EE.A29R"	"S02"
"TCGA.EE.A29T"	"S02"
"TCGA.EE.A2A0"	"S02"
"TCGA.EE.A2A1"	"S02"
"TCGA.EE.A2GK"	"S02"
"TCGA.EE.A2M7"	"S02"
"TCGA.EE.A2ME"	"S02"
"TCGA.EE.A2ML"	"S02"
"TCGA.EE.A3JE"	"S02"
"TCGA.ER.A193"	"S02"
"TCGA.ER.A19L"	"S02"
"TCGA.ER.A42L"	"S02"
"TCGA.FR.A8YE"	"S02"
"TCGA.FS.A1Z7"	"S02"
"TCGA.FS.A1ZP"	"S02"
"TCGA.FS.A1ZT"	"S02"
"TCGA.FS.A4F8"	"S02"
"TCGA.FW.A3R5"	"S02"
"TCGA.FW.A5DY"	"S02"
"TCGA.GN.A9SD"	"S02"
"TCGA.RP.A693"	"S02"
"TCGA.D3.A1Q4"	"S03"
"TCGA.D3.A1Q6"	"S03"
"TCGA.D3.A1Q8"	"S03"
"TCGA.D3.A2J7"	"S03"
"TCGA.D3.A2JA"	"S03"
"TCGA.D3.A2JC"	"S03"
"TCGA.D3.A3BZ"	"S03"
"TCGA.D3.A3CF"	"S03"
"TCGA.D3.A3MO"	"S03"
"TCGA.D3.A3MU"	"S03"
