"ID"	"Cell State"
"TCGA.D3.A2JC"	"S01"
"TCGA.D3.A3BZ"	"S01"
"TCGA.D3.A3MO"	"S01"
"TCGA.EE.A29G"	"S01"
"TCGA.EE.A29R"	"S01"
"TCGA.EE.A2GL"	"S01"
"TCGA.EE.A2GS"	"S01"
"TCGA.ER.A3EV"	"S01"
"TCGA.FR.A8YD"	"S01"
"TCGA.FS.A1ZJ"	"S01"
"TCGA.FS.A1ZK"	"S01"
"TCGA.FW.A5DY"	"S01"
"TCGA.W3.A828"	"S01"
"TCGA.D3.A1Q4"	"S02"
"TCGA.D3.A3CE"	"S02"
"TCGA.D3.A8GE"	"S02"
"TCGA.D9.A4Z6"	"S02"
"TCGA.DA.A1I4"	"S02"
"TCGA.EB.A5VV"	"S02"
"TCGA.EB.A6L9"	"S02"
"TCGA.EE.A183"	"S02"
"TCGA.EE.A29C"	"S02"
"TCGA.EE.A29W"	"S02"
"TCGA.EE.A2A1"	"S02"
"TCGA.EE.A2GT"	"S02"
"TCGA.EE.A2M7"	"S02"
"TCGA.EE.A2MH"	"S02"
"TCGA.EE.A2MS"	"S02"
"TCGA.EE.A3AH"	"S02"
"TCGA.ER.A193"	"S02"
"TCGA.ER.A19E"	"S02"
"TCGA.ER.A19J"	"S02"
"TCGA.ER.A19L"	"S02"
"TCGA.ER.A1A1"	"S02"
"TCGA.ER.A2NC"	"S02"
"TCGA.FR.A69P"	"S02"
"TCGA.FR.A8YC"	"S02"
"TCGA.FS.A1Z7"	"S02"
"TCGA.FS.A1ZA"	"S02"
"TCGA.FS.A1ZB"	"S02"
"TCGA.FS.A1ZP"	"S02"
"TCGA.FS.A1ZR"	"S02"
"TCGA.FS.A4F8"	"S02"
"TCGA.GN.A4U9"	"S02"
"TCGA.GN.A9SD"	"S02"
"TCGA.OD.A75X"	"S02"
"TCGA.RP.A693"	"S02"
"TCGA.RP.A694"	"S02"
"TCGA.WE.AAA3"	"S02"
"TCGA.Z2.A8RT"	"S02"
"TCGA.3N.A9WC"	"S03"
"TCGA.BF.AAP0"	"S03"
"TCGA.D3.A1Q3"	"S03"
"TCGA.D3.A1Q7"	"S03"
"TCGA.D3.A1Q8"	"S03"
"TCGA.D3.A1QB"	"S03"
"TCGA.D3.A2J7"	"S03"
"TCGA.D3.A2J8"	"S03"
